About us;A propos de nous;
Accept;Accepter;
Active;Actif;
Add;Ajouter;
Add a personal message to send;Ajouter un message personnel;
Add and organize<br>your pictures here;Ajoutez et organisez<br>vos photos ici;
Add carrousel;Ajouter un carrousel;
Add chapter;Ajouter un chapitre;
Add from vault;Ajouter depuis mon coffre-fort;
Add Gallery Section;Ajouter une gallerie;
Add images to carrousel;Ajouter des photos au carrousel;
Add New Section;Ajouter une nouvelle seciton;?
Add page;Ajouter une page;
Add section;Ajouter une section;?
Add text block;Ajouter un bloc texte;
Add Text Section;Ajouter une section texte;?
Additional information;Informations complémentaires;?
All;Tous;
An email will be sent to your email address with instructions to reset your password. You may have to check your spams and authorize %s;Un email sera envoyé à votre adresse de messagerie  avec les instructions pour réinitialiser votre mot de passe. Il se peut que vous ayez à vérifier vos spams et autoriser %s;
An error occurred;Une erreur est survenue;
Apr;Avr;
Are you sure you want to delete?;Etes vous sûr de vouloir supprimer?;
Are you sure you want to remove it?;Etes vous sûr de vouloir le supprimer?;?
Are you sure you want to remove this album?;Etes vous sûr de vouloir supprimer cet album?;
Aug;Aou;
Author;Auteur;
Avg Album Pages;Moy Pages albums;
Avg Storage;Stockage Moy;
Avg storage per user;Stockage Moy par utilisateur;
Blog;Blog;
"By clicking on the ""Register Now"" button you accept the LINKAVIE %sTerms and Conditions%s";"En cliquant sur le bouton ""S'inscrire"", vous acceptez les %Termes et conditions d'utilisation"" de LINKAVIE";
Cancel;Annuler;
Chapter;Chapitre;
Chapter Title;Titre de chapitre;
Choose Language;Choisir une langue;
Choose The Shelf;Sélectionner une étagère;
close;Fermer;
Close Edit Page mode;Fermer le mode Edition Page;
Close editor;Fermer l'éditeur;
Confirm;Confirmer;
Confirm your action;Confirmez votre action;?
Contact Us;Contactez nous;
Contents;Contenus;
Cookies Policy;Utilisation de cookies;
Count users;Nombre d'utilisateurs;
Cover;Couverture;
Create;Créer;
Create Album;Créer un album ;
Create Chapter;Ajouter un chapitre;
Create content;Créer un contenu;
Create date;Définir une date;
Create link;Créer le lien;
Create Page;Créer une page;
Create Shelf;Créer une étagère;
Create together with friends and colleagues the keepsake of your events;Créez à plusieurs le souvenir de vos événements;
Creation date;Date de création;
Customer info;Informations client;
Date Assigned;Date;
Dec;Déc;
Define chapter title;Définir le titre de chapitre;
Define page title;Définir le titre de page;
Delete carrousel;Supprimer le carrousel;
Delete page;Supprimer la page;
Delete text block;Supprimer le bloc texte;
Discover LINKAVIE;Découvrir LINKAVIE;
Discover LINKAVIE!;Découvrir LINKAVIE!;
Done;Terminé;
Download;Télécharger;
E-mail;E-mail;
Edit;Editer;
Edit Album page;Editer page;
Edit Album properties;Modifier les propriétés de l'album;
Edit Picture;Editer photo;
Edit Pictures;Editer les photos;
Edit summary;Editer le sommaire;
Edit User;Editer utilisateur;
Edit your gallery;Editer votre gallerie;
Email;Email;
email,email,email...;email,email,email;
End Period;Fin de période;
English;Anglais;
Enter;Entrer;
Facebook;Facebook;
FAQ;FAQ;
Fashion;;?
Features;Fonctionnalités;
Feb;Fév;
File;Fichier;
Filter;Filtre;
Finish Period;Fin de période;
Footer links;Liens de pieds de page;
Forgot password;Mot de passe oublié;
Forgot your password?;Mot de passe oublié?;
French;Français;
Fresh Garden;Fresh Garden;
"Friend links => Change to ""Average Friends""";Nombre d'amis moyen;?
FRIENDS;AMIS;
Friends;Amis;
Get Backup;Sauvegarder;
Get Your Link;Obtenir le lien;
GROUPS;GROUPES;
Here is no content yet;Il n'y a pas encore de contenu;
Hi, %s have shared with you a new content from his %s on LINKAVIE.;Bonjour, %s a partagé avec vous un nouveau contenu de son %s sur LINKAVIE;
ID;ID;
Jan;Jan;
Jul;Juil;
Jun;Juin;
Landing Page;Page d'accueil;
Link;Lien;
LINKAVIE;LINKAVIE;
"LINKAVIE 2013 &copy; , All rights reserved";"LINKAVIE 2013 &copy; , Tous droits réservés";
Linkavie Sharing;Partage LINKAVIE;
Login;Se connecter;
Mar;Mar;
May;Mai;
Menu;Menu;
Message;Message;
Message from your friend:;Message de votre ami:;
Modern;Moderne;
Name;Nom;
New File Description;Nouvelle description de fichier;
New File Name;Nouveau nom de fichier;
Next;Suivant;
No;Non;
No Exception available;Pas d'exception disponible;?
Nov;Nov;
Oct;Oct;
Old School;Old school;
Open;Ouvert;
Options;Options;
"p (for Thomas: the short form of ""page"")";p;
Page;Page;
Page sharing settings;Page: Paramètres de partage;
Page Title;Titre de page;
Password;Mot de passe;
Play;Jouer;
Please don\'t hesitate to send us feedback via your personal space or ask us question via our %sblog%s or contact form.;N'hésitez pas à nous faire part de vos retours d'expériences ou de nous poser des questions via votre espace personnel ou depuis notre %blog%;
Please enter your password to access the shared content;Veuillez entrer votre mot de passe pour accéder au contenu partagé;
Please, enter your new password;Veuillez entrer votre nouveau mot de passe;
Previous;Précédent;
Previous exceptions;Exceptions précédentes;
Recent articles;Articles récents;
Register for free;S'inscrire gratuitement;
Register to Beta;S'inscrire au programme Beta;
Remove;Supprimer;
Reports;Rapports;
Restore password;Réinitialisation de mot de passe;
Role;Rôle;
Save;Sauvegarder;
Save carrousel;Sauvegarder carrousel;
Save changes;Sauvegarder les changements;
Save text block;Sauvegarder le bloc texte;
Select all;Sélectionner tout;
Select All;Sélectionner Tout;
Select Chapter;Sélectionner le chapitre;
Select Cover;Définir la couverture;
Select Month;Sélectionner le mois;
Select pages/chapters;Sélectionner pages/chapitres;
Select Picture;Sélectionner la photo;
Select Pictures;Sélectionner les photos;
Select Year;Sélectionner l'année;
Selected pages sharing settings;Pages sélectionnées: paramètres de partage;
Send;Envoyer;
Sep;Sep;
Share;Partager;
Share page;Partager page;
Share selected pages;Partager page sélectionnée;
Share your emotions and best moments of your life with your family;Partager vos émotions et meilleurs moment de vie avec votre famille;?
Share your emotions with your family, common events with friends and colleagues, and remember them, %sAll together for life!%s;Partagez vos émotions en famille, vos événements avec vos amis et collègues, et conservez %sle souvenir de chaque anecdote!%s;
Sharing;Partage;
Sign up;Se connecter;
Social;Social;
Stack trace;Stack trace;
Start Period;Début de période;
Storage;Stockage;
Subject;Sujet;
"Terms &amp;  Conditions";"Termes &amp; Conditions";
Thanks!;Merci!;
The LINKAVIE team;L'équipe LINKAVIE;
Title;Titre;
To access the content, please click on the following button.;Pour accéder au contenu, veuillez cliquer sur le bouton suivant.;
"To add the content to this album click ""Add"" button.";"Pour ajouter ce contenu à cet album, cliquez sur le bouton ""Ajouter"".";
Total storage;Stockage total;
Twitter;Twitter;
Type;Type;
Unselect All;Désélectionner Tout;
Update;Mise à jour;
Users;Utilisateurs;
View;Voir;Not sure if it is name or verb here ?
View shared content;Voir le contenu partagé;
We are really excited and happy to welcome you on our LINKAVIE Beta program!;Nous sommes très heureux de vous accueillir pour ce lancement du programme Beta de LINKAVIE !;
We hope you will enjoy using LINKAVIE, as our wish is<br>to bring high value to your Digital life.;Nous espérons que vous aurez beaucoup de plaisir à utiliser LINKAVIE<br> pour partager et conserver tous les souvenirs de votre vie.;
WE THANK YOU SO MUCH for your participation!;NOUS VOUS SOMMES TRÈS RECONNAISSANTS DE VOTRE PARTICIPATION!;
Welcome to LINKAVIE;Bienvenue sur LINKAVIE;
With LINKAVIE, you can share your Digital life with your friends and family in a very simple and secured way, create events, digital albums by your own or collaboratively with other friends or colleagues, print  albums and much more.;Avec LINKAVIE, vous pouvez créer et partager vos albums de vie avec vos amis, vos collègues ou votre famille en toute simplicité et confidentialité. Vous pouvez créer des albums à l'occasion de vos événements, seul ou à plusieurs, imprimer vos albums et en conserver le souvenir...;
Wooden Lines;Wooden Lines;
Yes;Oui;
You do not have any content in this album.;Vous n'avez pas de contenu dans cet album;
You first chapter title;Titre de votre premier chapitre;
You first page title;Titre de votre première page;
Youtube;Youtube;
« Remember yesterday, remember 10 years ago,<br> Let\'s live it again in 20 years time... »;« Rappelle toi hier, souviens toi il y a 10 ans,<br> revivons ça dans 20 ans... »;
